あおい
開く,to open; to become open
かかる,to take (eg time;  money)
しまる,
閉まる,to close; to be closed
ならぶ,
並ぶ,to line up; to stand in a line
はじまる,
始まる,to begin
やすむ,
休む,to rest; to have a break; to take a day off
おす,
押す,to push; to press
かえす,
返す,to return something
ある [存在],to be
ある [所有],to have
しぬ,
死ぬ,to die
くる,
来る,to come
する,to do; to try
いぬ,
犬,dog
いま,
今,now
おてあらい,
お手洗い,toilet; lavatory; bathroom
きた,
北,north
ここのか,
九日,nine days; the ninth day (of the month)
せん,
千,thousand; many
そう/そうです,appears; to be the case
とおか,
十日,ten days; the tenth (day of the month)
なん～,
何～,what sort of ～
～にち,
～日,～ day of the month; for ～ days
～にん,
～人,counter for people
～ねん,
～年,～ years
はんぶん,
半分,half
～ひき,
～匹,counter for small animals
ひとつき,
一月,one month
ほう,way
～ほん,
～本,counter for long cylindrical things
～まい,
～枚,counter for flat things
むいか,
六日,six days; sixth (day of month)
らいしゅう,
来週,next week
